course_id,name,lat,lon,region,address,holes,phone,homepage,source,aliases
osm-way-379620543,IN코스,37.419882,127.817076,강원,강원특별자치도 원주시 월송석화로,,,,osm-nominatim,
osm-node-4642615385,골프장,37.715344,128.832778,강원,강원특별자치도 강릉시 성산면 구산강변길,,,,osm-nominatim,
osm-way-671763353,남춘천CC,37.790935,127.692373,강원,강원특별자치도 춘천시 신동면 한치로,,,https://www.namchuncheon.co.kr,osm-nominatim,Nam Chun Cheon Country Club
osm-way-691343112,더플레이어스GC,37.776192,127.749578,강원,강원특별자치도 춘천시 동산면 논골길,,,https://www.playersgc.com/,osm-nominatim,The Players Golf Club
osm-way-693438891,동서울레스피아 골프&리조트,37.401061,127.879204,강원,강원특별자치도 원주시 신평석화로,,,https://www.respia.com,osm-nominatim,
osm-way-631125417,동원썬밸리CC,37.483812,127.789796,강원,강원특별자치도 횡성군 서원면 양서북로,,,https://www.sunvalley.co.kr/dongwon/golf/intro,osm-nominatim,Dongwon Sun Valley Country Club
osm-way-393920831,라데나 골프 클럽,37.840205,127.722914,강원,강원특별자치도 춘천시 신동면 칠전동3길,,,,osm-nominatim,Ladena Golf Club
osm-way-478218021,라데나 골프 클럽 클럽하우스,37.841233,127.718765,강원,강원특별자치도 춘천시 신동면 칠전동3길,,,,osm-nominatim,
osm-way-583675671,라비에벨CC,37.741441,127.762785,강원,강원특별자치도 춘천시 동산면 종자터널,,,https://www.lavieestbellegolfnresort.com,osm-nominatim,La Vie est Belle Golf & Resort
osm-way-583675669,로드힐스CC,37.739995,127.732382,강원,강원특별자치도 춘천시 동산면 86,,,https://lordhills.co.kr/,osm-nominatim,Lordhills Golf & Resort
osm-way-470665698,메이플비치,37.743858,128.967701,강원,강원특별자치도 강릉시 풍호길(동해안자전거길),,,,osm-nominatim,
osm-way-1410516120,메이플코스,37.435385,127.810558,강원,강원특별자치도 원주시 월송석화로,,,,osm-nominatim,
osm-relation-18219519,버치힐CC,37.655637,128.706136,강원,강원특별자치도 평창군 대관령면 올림픽로,,,https://www.yongpyong.co.kr/kor/golf/course/birchhillClub/fullMap.do,osm-nominatim,Yongpyong Birch Hill Country Club
osm-way-671760849,베어크리크GC 춘천,37.768869,127.719501,강원,강원특별자치도 춘천시 신동면 김유정로,,,https://www.bearcreek.co.kr/,osm-nominatim,Bear Creek Golf Club
osm-way-466141930,블랙밸리CC,37.222966,129.070875,강원,강원특별자치도 삼척시 도계읍 도상로,,,,osm-nominatim,
osm-relation-18635753,비콘힐스골프클럽,37.62464,127.867872,강원,강원특별자치도 홍천군 홍천읍 높은터로,,,https://www.beaconhills.co.kr/,osm-nominatim,Beacon Hills Golf Club
osm-way-393889907,샌드파인GC,37.800038,128.881019,강원,강원특별자치도 강릉시 안현로244번길,,,https://www.lakaisandpine.co.kr/golf,osm-nominatim,Sandpine Golf Club
osm-way-589107484,샤인데일골프리조트,37.674677,127.561235,강원,강원특별자치도 홍천군 서면 한서로,,,https://www.shinedale.com/,osm-nominatim,Shinedale Golf & Resort
osm-way-366335418,설악썬밸리CC,38.313785,128.502966,강원,강원특별자치도 고성군 죽왕면 봉수대길,,,https://www.sunvalley.co.kr,osm-nominatim,Seorak Sun Valley Country Club
osm-way-484096107,설해원,38.052308,128.664789,강원,강원특별자치도 양양군 손양면 동해고속도로,,,https://www.seolhaeone.com/golf/list.do,osm-nominatim,Seolhaeone
osm-node-10789966740,성문안 컨트리클럽,37.395594,127.833084,강원,강원특별자치도 원주시 광주원주고속도로,,,,osm-nominatim,
osm-way-1303272662,성문안CC,37.398494,127.836924,강원,강원특별자치도 원주시 광주원주고속도로,,,http://seongmunan.com/,osm-nominatim,Seongmunan Country Club
osm-way-653860298,세이지우드CC 홍천,37.882742,128.120102,강원,강원특별자치도 홍천군 두촌면 광석로,,,https://www.sagewood.co.kr/hongcheon/main,osm-nominatim,Sagewood Country Club Hongcheon
osm-way-377809092,센추리21CC,37.282541,127.849576,강원,강원특별자치도 원주시 문막읍 궁말길,,,,osm-nominatim,
